suite,name,type,size,parallel,mode,ns_per_op,bytes_per_op,allocs_per_op,ns_per_item,items_per_sec
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=1/ordered,foreach,1000,1,ordered,20174610,6600364,112973,20174.6,49567.3
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=1/unordered,foreach,1000,1,unordered,37769258,6604371,112969,37769.3,26476.6
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=2/ordered,foreach,1000,2,ordered,29261353,6665603,112991,29261.4,34174.8
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=2/unordered,foreach,1000,2,unordered,26953265,6691914,113001,26953.3,37101.3
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=4/ordered,foreach,1000,4,ordered,24547186,6518876,112955,24547.2,40737.9
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=4/unordered,foreach,1000,4,unordered,8548717,6541719,112958,8548.72,116977
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=8/ordered,foreach,1000,8,ordered,6460592,6447965,112949,6460.59,154785
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=8/unordered,foreach,1000,8,unordered,6512583,6446080,112944,6512.58,153549
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=16/ordered,foreach,1000,16,ordered,6657989,6486203,112971,6657.99,150196
ForeachParallelMatrix,ForeachParallelMatrix/size=1000/parallel=16/unordered,foreach,1000,16,unordered,6879565,6479516,112965,6879.56,145358
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=1/ordered,foreach,10000,1,ordered,344168932,65877261,1130701,34416.9,29055.5
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=1/unordered,foreach,10000,1,unordered,357114578,66030920,1130755,35711.5,28002.2
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=2/ordered,foreach,10000,2,ordered,269316208,66708644,1131011,26931.6,37131.1
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=2/unordered,foreach,10000,2,unordered,302491597,66927813,1131068,30249.2,33058.8
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=4/ordered,foreach,10000,4,ordered,86040076,65164942,1130610,8604.01,116225
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=4/unordered,foreach,10000,4,unordered,83989220,65282256,1130651,8398.92,119063
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=8/ordered,foreach,10000,8,ordered,63732407,64381712,1130479,6373.24,156906
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=8/unordered,foreach,10000,8,unordered,67473698,64607263,1130500,6747.37,148206
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=16/ordered,foreach,10000,16,ordered,74548049,64814893,1130645,7454.8,134142
ForeachParallelMatrix,ForeachParallelMatrix/size=10000/parallel=16/unordered,foreach,10000,16,unordered,74831094,64442629,1130563,7483.11,133634
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=1/ordered,foreach,100000,1,ordered,4067461015,666823888,11310664,40674.6,24585.4
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=1/unordered,foreach,100000,1,unordered,3839571369,673683760,11312668,38395.7,26044.6
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=2/ordered,foreach,100000,2,ordered,2777281557,683826968,11316340,27772.8,36006.4
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=2/unordered,foreach,100000,2,unordered,2671259435,692210896,11318564,26712.6,37435.5
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=4/ordered,foreach,100000,4,ordered,1142681120,656162008,11309039,11426.8,87513.5
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=4/unordered,foreach,100000,4,unordered,1120807990,660686976,11309685,11208.1,89221.3
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=8/ordered,foreach,100000,8,ordered,810521874,648138232,11306872,8105.22,123377
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=8/unordered,foreach,100000,8,unordered,782752840,648787492,11307471,7827.53,127754
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=16/ordered,foreach,100000,16,ordered,771031906,649705484,11307837,7710.32,129696
ForeachParallelMatrix,ForeachParallelMatrix/size=100000/parallel=16/unordered,foreach,100000,16,unordered,754556762,647785688,11307841,7545.57,132528
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=200/parallel=1/ordered,exec,200,1,ordered,346204334,7569294,55162,1.73102e+06,577.694
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=200/parallel=1/unordered,exec,200,1,unordered,353904474,7570493,55169,1.76952e+06,565.124
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=200/parallel=4/ordered,exec,200,4,ordered,42952144,7577848,55208,214761,4656.34
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=200/parallel=4/unordered,exec,200,4,unordered,47017131,7577520,55203,235086,4253.77
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=200/parallel=8/ordered,exec,200,8,ordered,33942502,7575933,55170,169713,5892.32
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=200/parallel=8/unordered,exec,200,8,unordered,37103493,7574547,55168,185517,5390.33
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=1000/parallel=1/ordered,exec,1000,1,ordered,1623899236,37807024,276130,1.6239e+06,615.802
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=1000/parallel=1/unordered,exec,1000,1,unordered,1629152310,37800872,276146,1.62915e+06,613.816
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=1000/parallel=4/ordered,exec,1000,4,ordered,215940431,37834100,276248,215940,4630.91
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=1000/parallel=4/unordered,exec,1000,4,unordered,217053175,37848052,276360,217053,4607.17
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=1000/parallel=8/ordered,exec,1000,8,ordered,184840823,37814497,276062,184841,5410.06
ForeachParallelExecTrue,ForeachParallelExecTrue/exec/size=1000/parallel=8/unordered,exec,1000,8,unordered,173719966,37815906,276053,173720,5756.39
